Labor Requirements,Equipment Usage,Material Quantities,Project Duration (days),Resource Allocation Efficiency,Schedule Optimization,Computation Time (CT),Best Cost (BC),Evaluation Metric (Nfe),Mean Resource Demand,SD of Resource Demand,Risk Level
99,7,630.558443881488,156,96.9824422150722,1,359.0453825107346,631932.0442742542,289,66.81036608501744,19.41135584850447,2
153,28,1723.6229652564214,321,77.73226038068701,0,139.68638429531148,116111.83999973541,171,70.86830075416371,18.674770234959723,1
181,18,1060.2645245575814,402,82.13520751462991,0,393.27698810351296,1113258.268198926,297,68.50907864521092,12.875500394254432,2
51,28,1289.7487912306715,262,70.19528995659529,1,274.78859381210964,1173694.6266195287,231,84.14343150632823,13.330871313384769,0
183,18,668.4565166168288,118,89.70123331361685,0,398.6422457040443,344511.0433024438,278,80.14479751894406,14.265456986100759,0
103,15,503.87602226747356,469,63.06543225900995,0,373.45441775975524,328916.63805601007,179,94.68319988633695,11.392966894071009,2
155,20,1456.9778086899464,363,94.9054321018734,0,166.45518163393174,929092.1942183427,275,98.10691465996302,10.222724550672238,1
53,8,1272.7627555005975,381,93.1246731602537,0,116.84860297099394,378717.3387122679,246,76.19439558472578,18.691216142810347,1
103,24,1390.3078536847206,212,68.64240464979065,1,176.69172813860848,1084584.2150780295,173,80.25402213123249,15.541287162104563,0
195,9,1690.6157755707745,426,92.3729759314105,0,258.2690946998259,731322.0497352805,163,98.86065427216556,16.087229421782162,2
93,26,1469.9088701342903,129,91.45430932245927,0,151.47891011955699,485855.38531134336,185,71.04955766492574,19.26988474817795,0
63,25,762.1601642410658,234,85.28866391015796,0,150.23792335539656,1015963.1209843621,173,91.69563101435254,16.65120178113616,0
144,18,1041.1587786658997,166,74.9408070759875,1,238.77806413154593,642747.3704547347,244,69.00959609340985,16.908535043398132,1
97,27,1858.8366571816405,164,70.85995016727472,1,109.98039135080752,1102796.2050793231,204,87.25840461701088,17.86968648436742,2
64,20,1654.9170503775183,391,69.271343611574,0,136.56642475968113,1120815.660402319,173,70.14462510554256,11.163484498574038,0
89,22,1334.955586905076,124,72.74435851054429,0,224.75840182238426,281962.1673412502,175,95.34933555325547,13.601621532137916,1
131,11,883.4674967139085,136,96.1423377373012,1,118.93897276238994,102555.7467451233,229,82.45911774946707,19.682079277033665,0
160,14,953.0907527521925,100,63.10563103955125,0,219.0265169366588,1182324.0341566424,214,67.43734563497539,19.229300781006067,0
102,11,1597.9371013784519,498,93.15485105011834,0,242.20187978453353,1096751.2897402272,224,68.97476702793944,18.84075296310185,1
73,5,1776.7613912791562,136,73.95560300167294,1,235.37998422193434,160989.75927422557,192,79.75396782832401,14.520885103389725,1
173,27,1507.1370042959215,240,80.86397584045433,0,360.7524572209262,1016337.6903351769,178,98.46408102299515,18.57192953586806,2
90,25,1714.2949636526625,331,91.77942534593963,0,259.0187365155197,603585.4258151273,230,90.78568655534617,10.483958819457657,0
64,23,1649.984202800609,235,95.37506188091885,1,240.394138743413,384857.7655274728,203,79.5323857130338,11.485174242571174,2
94,20,724.5559519354366,488,73.79125680290588,1,223.21277361749986,1066621.176044623,188,73.50876578248868,14.139676984840541,1
114,23,1135.917219369953,287,78.47373925100442,0,345.2870134913459,316333.955629338,191,81.9707397339377,14.833920666821264,1
138,8,729.475701242844,227,76.5806425926717,1,368.51698119994995,1142029.9993620736,178,89.93443333714478,12.635071535208569,0
120,22,852.8533772029773,300,60.53004134015642,0,355.97274075913526,326183.6364692752,280,91.357143538112,13.564766708477874,2
58,6,1803.8894369765787,226,71.83771555434626,0,302.0639734394173,775051.5065016178,287,72.98435192387778,11.627761010253687,2
137,5,1209.3379484497732,356,78.36756934930247,0,141.20852379060227,345394.9679818724,291,88.84637072855509,14.891340317159072,0
178,19,1303.0371527639913,263,76.44374435521759,1,183.06099084760368,700235.5314654983,191,86.31155120144744,17.938432928678612,0
185,9,767.6689478416581,134,88.87716910062719,1,113.81891910459323,852372.6429066554,243,98.36449167985175,16.613603936613057,2
112,24,968.407679073194,293,75.39214468884413,0,379.2472224970342,309250.72390215134,181,97.24361162032059,11.077922473655413,1
188,15,845.3692526418049,290,79.57505795882682,0,298.23955890727314,672974.3609707471,175,91.57517302414308,14.875816033967162,1
130,14,809.2792467776396,203,77.18434368529454,1,323.90886529397244,615965.7188291309,264,88.93578755419713,16.97646382779725,0
185,6,1456.9411899739553,122,89.62504595577482,1,193.47152187466867,178141.16354367536,278,70.96166358817104,15.298952965539412,2
82,7,885.3257714685722,364,94.5188959594785,1,353.6960566832027,1000138.5994428332,205,93.83861024394133,13.91675596535549,2
172,27,1448.0232290306276,389,81.27556316030056,0,177.88098511254356,469250.6407071259,271,77.10022814853465,16.21914421283878,2
54,27,587.6819211628308,483,91.57728776780765,1,100.4931271337349,732040.4173070675,255,70.88962170024179,19.686386653002756,1
90,16,712.6615902906528,359,71.87146728079402,1,212.92448875620818,666262.6584264479,279,75.3664303181385,10.94907909766078,1
77,24,911.810381000188,457,81.65478440629074,0,271.228444287722,664586.5550274865,230,93.43741960066032,13.900160607475607,2
184,9,1395.5703753435375,174,73.8091981467989,0,243.61145738965675,217944.6336293362,269,65.9453286231154,14.066058530460957,2
121,9,1513.761867631064,454,76.56803702287321,0,358.6228427729791,565830.210174266,201,78.2463496447929,15.76967310468371,0
61,10,1164.0754501692907,171,89.29655459250674,1,131.6215857868501,597603.4351272272,240,79.69430378117958,11.52174601881918,0
82,13,1168.6863718658433,358,95.2664992933085,0,266.14703219011767,907007.1244008933,286,61.465187903952774,11.766430298704694,2
97,6,1586.775277097927,497,64.85981564351061,0,253.89380494627224,1024020.7151127683,171,67.82984118192661,12.853613859978546,2
111,25,523.7316376483736,287,85.38557025949522,0,184.4178946516489,699480.5059100197,183,93.06969714303426,19.558700432685196,1
86,16,1011.6350367113308,272,83.28575230311193,0,346.6684337731032,195461.24947148951,259,93.23069554379043,17.341085812309025,2
148,7,1728.060585678849,389,64.73660156703727,1,325.8545967646619,360534.4176562009,198,71.69660335536992,16.616933016915034,0
153,24,1404.8291153200585,144,68.47577321760437,0,319.85775619954927,281427.42953800416,278,94.99588938391705,18.169576873942624,1
84,26,1005.8406991331306,160,72.44009978930721,1,362.8577434808668,237076.5695080372,222,90.8713175627339,11.27576468916693,0
150,16,1858.2871884945107,182,66.67724283270006,1,316.83538018645635,502489.22847958835,233,76.71629935181637,18.59332819723752,0
180,28,1658.9340911740737,222,69.74917930097368,1,169.55238751441794,352332.85236982023,202,89.93625377620151,15.94832713887504,1
50,21,897.3431708551002,457,70.7040319544683,0,311.66881349490734,340133.4229926635,249,98.45338524779226,13.353290074589355,0
54,14,1467.9347562885755,115,73.42695332156238,1,192.31084401695315,160162.4920338944,273,78.35878872261395,18.158552557456904,2
191,28,1393.626092283435,165,89.97561811204636,0,172.65239510424118,119437.04927497727,194,69.53708715813934,18.02564534348624,0
152,18,1101.781871058474,244,82.87648815402403,0,121.9010778698882,213045.06691475998,286,97.67266000200624,18.457085817167272,1
76,27,1050.434118807201,474,99.44986687805606,0,323.208574104303,289417.22736599634,254,84.14977154253026,11.155179001069822,1
186,21,1015.340712163556,261,76.58943307869885,1,313.30028858494336,574082.1017330234,299,64.21060649921701,19.69361244995776,1
64,22,1425.73367509347,333,90.154602953477,0,170.34984330222812,661572.2874287291,295,82.90731263426758,19.596261537897313,0
139,23,1163.6149047210042,479,94.85873685506135,0,324.8137050172468,254651.10999070213,255,80.02323557793196,13.574696455017415,2
91,21,1747.794669877133,243,87.15913972152168,0,375.3522649280659,567261.675676605,192,94.22355576302253,10.658940182119196,1
173,18,1504.4039242009428,457,76.47458961669983,1,132.40868724747378,475923.72655852,283,81.22780759054086,11.670556694687857,2
112,13,604.8974085641512,287,90.14378522983012,1,169.79099151603248,301766.0078477516,197,70.20929737377134,19.928308254446968,1
145,12,1460.2523357422492,421,68.14668551090739,1,325.0782382261947,107524.82296319991,275,87.02576255459554,15.63012943171663,2
101,6,906.7211547502773,112,73.1020866072053,0,182.35200205212348,613719.6531739158,156,81.7030181014232,13.56621798826052,2
145,17,1389.217987480134,283,81.86741020397156,1,287.399192285115,854216.9241917193,165,69.3217851306749,12.882026938500388,2
181,29,1520.197896655177,210,83.01637549144593,0,124.34926733911436,348905.06755818776,278,82.94511431771632,12.569917353109474,1
192,11,846.2437837310181,389,60.88565901890518,0,235.66074373106161,244987.51288634728,264,92.86142311558744,16.64152765054482,0
78,13,1185.287967320553,394,97.80456755024035,1,321.72742659788594,1075747.0188916582,186,61.14283670896042,14.193878315196859,0
85,26,785.4872942286017,491,87.8650908486956,0,305.95418291297574,402527.24973657756,274,85.23404154580447,19.654106993686113,0
62,26,578.5083136797625,314,79.82815000927565,1,344.521630202742,345973.88177193125,230,73.98340783137569,16.838430306453613,2
120,15,1067.7146352288037,219,97.32508937633233,0,363.2356379809506,1042806.6335709074,211,71.70685783037696,17.92044591048961,1
135,18,1044.416407768988,481,77.56382261003314,1,331.95505037762746,998817.8090834374,221,75.70351001444445,12.927415485831599,2
77,8,1993.2207360563855,154,99.21742281081487,0,301.4763228816778,593181.1175770969,274,73.68090656991927,10.791864091086259,1
115,17,1169.5285267964632,126,80.4913902897394,0,109.51674754480935,638162.7475705519,215,93.28956426833767,14.87822837381881,2
94,6,1000.3543242083006,217,64.57143079991918,0,260.4900020228332,339523.57531742414,179,70.99191243071603,13.145815465462274,1
111,27,1370.7125100750118,320,90.59203889837109,0,111.30931747445584,186131.83752751324,169,89.32612092426342,12.020831650079238,1
183,9,633.1510911616526,330,87.15590900311362,0,342.4203451348068,730775.0078912271,231,63.76239280914355,19.526421308008615,1
77,15,1942.4986039322198,152,90.91946885222347,1,196.21735733798727,208179.41374923446,256,98.05585489937661,14.439882143420302,2
77,10,1452.4400683865497,394,98.05768114902725,0,268.72881223537627,594202.0016523148,281,84.89266548994208,11.747085920487857,0
157,22,1632.2567299112716,420,91.05957210604072,1,183.83359219567078,1134546.9183643118,186,88.2687430817824,11.986506526811391,2
93,25,755.7169072608763,332,84.45346408866587,1,334.7500433140881,1148117.8280876428,281,71.92157328377805,12.80709742464594,2
133,14,1114.2167795078058,257,94.29235609443364,1,365.95075799257074,363265.51520209445,226,76.48386274832458,19.993162681897125,1
79,8,1134.0336700942844,368,86.92985757418126,0,219.5927482639192,786524.7620502198,238,68.95113545083905,12.680115005195972,1
124,13,1732.7096658516302,120,76.32476227303692,0,358.8767180532967,621483.8905186434,295,97.30144343208896,13.288018045784536,0
177,10,501.8550196391142,152,95.42479056967093,0,180.12250223689972,1063253.6403447166,237,79.5241778840551,16.593281279840014,0
141,6,951.2796625298827,374,68.87601843137492,1,260.39827692265715,398573.9507036586,182,85.2179246263196,12.939613764102983,1
178,21,1971.8545615164558,412,88.58565099634896,0,357.62842895161117,104072.64751565854,207,89.37088122122861,12.158042510596934,0
170,9,1212.329815259328,380,95.26253819763028,0,197.76440278473711,278817.3265245566,177,74.84424364398156,11.586371866495988,0
76,29,1073.7894203660123,313,89.25266078813185,1,386.2126795234257,484475.08128633787,184,88.80406618156564,13.126826650277922,1
170,10,679.7435030264695,130,87.89101676215428,1,136.56385053441508,447293.24274753744,274,87.0396995902536,11.059156896287735,2
165,16,1961.2469429420235,436,90.10553176287344,1,105.48252091705187,970499.2110351746,287,88.22637335495786,10.186465864147829,0
52,27,530.0395338887367,282,78.60220993202577,1,371.2406057734572,848616.7327527216,214,79.56919600818452,18.046416973346773,1
152,25,1605.7703375108647,122,94.96682728628105,1,120.59459984436167,429511.951576387,191,75.31749529166468,11.378949424145766,0
186,14,1652.8997071827625,131,68.13745900544365,1,397.5667587842475,603518.1988828348,234,68.88328752835959,17.75976849815242,0
111,26,865.4850740958,173,65.09545664001357,0,385.41905859373185,205115.01435416873,286,92.98505411203573,17.975424789866597,1
100,25,1507.3376654195558,109,71.42035120474046,1,141.1062730108962,1087961.089302111,260,84.33400186126715,15.37919526329243,0
108,29,639.3937165690849,153,81.26309587099973,0,261.2753877077697,1128967.3068933876,164,77.77408784389979,13.096819583129514,0
167,10,885.5708996481198,151,80.42247181637353,0,155.4760892401433,1177783.888919032,218,97.75983626842446,11.450327337498884,0
145,12,1681.8529824383975,247,92.82395030706346,0,228.44655190903595,1055408.1138644214,254,61.913552500281554,17.36805106720999,2
162,6,1797.0292880503105,259,76.1827462561607,1,118.4275387779498,291356.97646584804,299,94.0068778082019,16.01386985981786,2
111,16,1412.729618989687,469,79.37377705166034,0,167.17737633897684,150816.1315217917,213,99.9033037178389,16.554534564935643,0
101,17,1260.2576477307239,113,60.534707330375824,1,208.98183891966985,737556.4001539414,190,95.4776844353147,10.08669089845131,1
61,29,738.9560309284705,277,76.38956945771756,1,231.59425007381645,1103865.5295714214,220,92.41746342462501,19.275170157078243,0
88,25,594.6635496187253,465,85.91096931801368,0,393.24887746266796,295086.49782571715,205,74.97223973625299,10.662901874465502,0
179,11,676.4735427103379,152,60.62033322506369,1,342.35969370519433,107747.20608655605,174,69.25256729049174,13.668058851400056,2
180,14,841.0359501441482,434,71.23527860744974,0,321.22298329358387,986045.6506354688,254,89.39402081998404,14.027116496517003,2
162,17,1012.5117528453812,121,68.31825437157559,0,261.1123944225923,184475.2527154074,283,72.18301465154273,10.01355524497949,2
150,21,1071.3642882664808,129,61.67941715638353,1,351.999328181303,555076.6351010334,268,67.04158728619883,14.970893093507971,0
162,25,1019.4826528835054,290,79.17040359658151,0,201.7968506967133,846776.0709076636,158,91.46103548414365,17.5280899451101,0
130,18,858.5829982958984,359,67.26893172912627,0,312.6697338319948,360477.34400179813,209,72.5017460894689,18.23268653114772,1
162,6,1264.586370127547,304,89.7232615852552,0,398.13519261345164,192358.81979139935,274,96.57766917949354,18.793969933058843,0
51,26,1737.9291623493452,158,93.91711535053395,1,194.38867268055964,947023.3513014115,198,93.625305792765,14.877188683153694,0
179,15,919.5553077072188,363,81.82340730676592,0,302.20526046519024,793192.5933757456,200,93.90561318037021,16.306361905296505,2
103,5,1913.5805286533496,111,99.26829370084566,1,353.29445924571473,1187339.5329354852,219,90.86278904223305,10.795197132964988,2
136,23,1810.0049925857718,218,78.01914285882381,1,374.7422750052017,478738.8366519552,186,95.23525695098947,14.8803822428175,2
178,25,742.6463170281644,389,80.53472840899661,0,315.3798072820306,167938.62491921967,180,92.2298756871248,11.548157548717352,2
196,8,1679.4139351356419,437,99.56871015831001,0,185.0823770251409,907785.0388688253,211,84.10045454298916,13.696431176225214,2
175,23,1361.8810734766498,347,69.26193743860195,1,197.88464547068395,673906.7607385702,242,71.83290874327453,13.293053128645994,1
179,25,1349.8630432571279,453,97.70183758707621,1,106.22740963718927,334524.3245280486,163,95.52836772856597,14.235405772415081,1
102,15,1086.5641445872616,226,61.71350220476453,0,328.2657933014529,959901.8879052353,228,93.62414491092767,15.716366179741325,1
117,12,1251.7294987730147,174,77.85547561052779,0,112.82188181858541,324131.0344349381,157,78.91517288842181,19.02876647062996,2
172,15,1095.7681661438164,460,62.80014048532263,1,359.3957063808237,386727.82031623024,185,61.56314744007821,13.944846313475054,2
194,8,1309.5989281399143,303,89.16938971654572,1,135.59818434236163,201781.40980339106,197,85.54174909607653,19.811311957115507,2
87,21,1441.9250791589538,148,84.33635743520071,1,151.56295364077727,539375.5069339399,234,62.02387414706327,17.59028048051203,1
73,11,1511.4557096135727,178,88.26537053870385,1,242.9579412496712,560822.1463311608,177,97.0511984739363,15.114810467883832,2
118,12,1298.7217888391392,340,74.97921599872068,1,321.3641245506227,666017.9693831282,200,98.46525026501229,16.44026437111944,1
165,7,1582.1331009930975,448,74.77927736125521,0,141.7006615597233,879860.6938361552,253,67.57960583598417,11.022241711319445,2
147,26,711.9170739132587,253,61.81277115843579,1,232.02132251994954,1096711.0215484684,250,87.0555751221964,18.44521531313655,0
188,6,817.9737363533578,373,73.9977975811856,1,244.85538232303142,251507.5087765895,178,63.69076018251051,15.823574550639659,1
193,27,1728.102506111405,195,97.17153609048238,0,163.6856925005774,159782.90818352276,276,89.18067714292488,19.860674802096018,0
146,19,983.7919667696228,313,75.16906148721796,0,134.66751300418952,120384.35695376662,231,73.89150664610699,16.36428743752849,1
173,28,534.3407374641804,393,93.2547082488788,1,350.9262768956919,257983.51587569786,159,87.24200446921782,18.34111583266325,2
119,26,730.6867245020467,308,93.69302018999736,1,250.73969492882966,823744.4343597885,255,74.91506036808711,17.9976274279524,2
142,26,835.4216517444669,442,74.92964625516936,0,104.31437079524589,900224.7857961463,150,65.82270039332943,13.45461151468269,0
52,9,1935.9843318418807,187,85.27954721584756,1,340.8943903927311,965156.2848809344,188,76.24439922010231,12.596106252332117,2
197,28,1359.562143396274,405,63.81486409092234,1,394.23814162437543,368079.0330947769,170,64.5069410653916,14.3049358343151,1
196,5,1899.0961107143821,363,64.14714322937105,0,281.7778586242742,436484.2945876719,214,83.07533099907783,14.67241344408837,2
139,8,1362.7450257449373,489,61.946306546468534,1,251.11251612522122,631448.1101220493,164,61.63806128597919,12.400847019366438,2
196,19,1219.0316602067778,424,83.24060373500438,0,363.5247589134885,169501.40654624914,281,81.09278718399439,18.94597873350972,1
197,24,970.5915367911441,476,77.04283910504388,0,385.7550369053796,772255.6755323708,210,95.45474588382163,15.425478623006459,0
145,23,1409.5564166500635,419,81.9212942665696,0,326.3610747707381,1182108.5370433335,297,93.51493080477451,19.784443921535697,0
101,7,708.7970369262948,256,80.84292762033552,0,233.63587892028636,496886.9425158028,287,95.31126798505987,18.100177780462634,2
177,24,1847.392440939059,255,74.00811964362921,1,277.6664197994321,928132.2226005223,236,96.8819520850843,15.55704860391946,1
88,15,1743.9986077119256,238,87.09893659293891,0,310.28060950539975,650037.3071265687,254,64.18111551502777,19.470402781443592,0
131,21,976.2971718151056,220,90.34007523665562,1,158.28207130054042,240593.02879642101,183,65.14988811502852,15.04874815095307,0
153,17,1929.1962914019414,164,60.585130355107026,1,234.16030966493142,740461.193682845,273,82.28027225252515,18.871065125186703,2
178,15,1737.8011511233522,206,68.28969199075513,1,348.9463794151855,429861.69528847147,259,95.75890673697717,13.581447811958055,1
60,6,1499.4603287525597,246,88.52943472333348,1,296.41760454953294,137843.52929880406,182,98.97397826096123,13.78642383404094,0
91,13,682.6428666879121,236,75.46480690535337,1,223.36122016355623,798422.7031295182,247,61.8504766936,14.18130682970931,2
148,6,1217.3510345721083,261,86.49935787766432,0,299.00876020440444,1044825.5842572004,210,74.23096336802641,15.466256459432461,2
56,25,1259.1613322701264,199,73.87850638938234,0,135.46672362173797,479246.74358986155,159,68.51577018639973,15.53490270198824,2
193,13,848.8270375480702,437,75.63020609318548,0,220.4492831694629,529325.1019340475,233,90.23863395724993,14.963989216770841,2
139,13,619.9480915389529,498,66.3471549475874,0,337.9385613889169,1080123.8512639327,214,85.60775474148127,13.060009735831674,0
161,12,1665.085445707539,406,70.32924078664641,1,166.1526361409944,994969.6947040915,226,64.79552125935382,19.27206464790831,1
109,21,683.0525781865925,240,84.21647030030348,0,155.7884522672253,886448.1059069549,150,79.34088269459886,15.885860973492543,2
162,5,1391.436125842662,182,77.32652445260666,1,385.2455979749294,373676.7701284627,282,87.41762089485165,14.077392161915949,2
51,29,1904.673760825491,276,90.97210731778381,1,162.9692888758692,1101238.320463309,229,91.1602157569615,16.511769607436182,0
178,15,1814.1577888970637,297,94.1033981975337,0,178.27557389505043,269857.3332931343,164,60.80210839136034,17.67966757809805,2
97,12,916.6289356238917,211,81.66585672867039,0,390.88478167130137,789447.571358944,177,95.6187829593556,19.60728088228243,2
189,14,1777.172956326898,155,90.33069168224236,0,320.4125710795077,131681.29860117057,172,82.77125531802098,14.995491622675825,1
86,29,500.4987591807341,278,72.2761805277828,0,309.87895990705846,808091.7869574404,258,92.47636459839619,11.120985103507588,2
58,11,526.5317144198858,285,76.59884861600312,1,355.8779151563744,404858.7870606958,256,92.31752120057133,14.407658014365413,0
148,7,1403.8297457642975,317,88.51110704867324,1,134.74692467103827,594644.674902092,294,67.59410641083876,14.789705614534714,1
196,7,1047.1973287167943,415,75.44847971268123,0,311.7868709740021,479791.0072627584,262,64.40688481014533,18.96994078185674,0
97,22,1079.6912617387206,316,83.54019740635955,1,251.10658279847166,290032.4318708309,247,88.85149075895306,13.94800768462953,1
180,9,1346.6616360183239,219,67.41491116330046,1,348.74519208524197,784178.8691032615,290,66.25707675286476,19.533242648871386,1
197,16,787.6736833877908,493,83.99085259881991,1,252.4425155995583,1070173.1106546682,291,93.99749965618895,14.851319077143348,2
103,16,817.6330259982176,274,94.46054828907575,0,286.07240628067365,1154992.6665106437,288,89.04757935448421,19.73780500978929,2
169,23,1226.902380528297,122,94.74558559293703,1,243.3226379198608,311580.99946930655,177,93.6730145746105,10.081983211309621,2
165,10,1631.3803165157947,312,88.97377625318158,0,243.44767706675324,889110.0514692707,191,71.96050718437384,18.988153748063468,0
124,6,1429.2466271113815,334,89.83013516304504,0,330.39099341854944,830773.3032662505,248,72.66392241642276,19.311204519433506,2
162,16,946.0325723552584,112,82.31709780602803,1,288.569920194185,477715.5685320298,210,86.8488622538527,19.61020935765213,2
153,23,1145.5057662633817,200,83.38672360663298,1,289.97896048282314,121009.11928909842,272,61.2578382023579,10.130765341746148,1
133,9,755.9971378249976,123,65.34602325642072,0,235.08474514945775,858770.3720441527,213,89.0598698534969,11.71700836550309,2
161,16,611.9447215056225,463,77.75436753685204,1,259.3328489012583,1140044.3466154502,180,93.43132283418404,16.53764503093236,2
